development_run_count,repetition,training_rows,test_runs,test_rows,mae_ms,rmse_ms,r2,median_absolute_error_ms,p95_absolute_error_ms,p99_absolute_error_ms,selected_run_ids
15,17,21380,5,5996,140.51931392826984,359.10725899520946,0.10909764586298565,36.4819278717041,544.8409729003906,1743.2508430480966,training-s5.0-r2002-b1-m0.25-bd5-d60|training-s5.0-r2005-b0-m1.0-bd5-d60|training-s3.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2004-b1-m0.25-bd5-d60|training-s5.0-r2001-b1-m0.50-bd10-d60|training-s5.0-r2005-b1-m0.50-bd10-d60|training-s8.0-r2003-b0-m1.0-bd5-d60|training-s3.0-r2004-b0-m1.0-bd5-d60|training-s8.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2003-b1-m0.50-bd10-d60|training-s3.0-r2001-b0-m1.0-bd5-d60|training-s5.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2002-b1-m0.50-bd10-d60|training-s3.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2001-b1-m0.25-bd5-d60
5,18,5580,5,5996,153.41953618665897,428.9736706086132,-0.2712852627407032,17.035775184631348,1006.4912948608398,2098.3767213821416,training-s8.0-r2003-b0-m1.0-bd5-d60|training-s5.0-r2001-b1-m0.50-bd10-d60|training-s5.0-r2002-b1-m0.25-bd5-d60|training-s8.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2002-b1-m0.50-bd10-d60
10,18,13742,5,5996,140.698330151257,350.51770717170814,0.15120724713920974,36.85442924499512,563.3832244873047,1754.4167961120615,training-s8.0-r2003-b0-m1.0-bd5-d60|training-s5.0-r2001-b1-m0.50-bd10-d60|training-s5.0-r2002-b1-m0.25-bd5-d60|training-s8.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2002-b1-m0.50-bd10-d60|training-s5.0-r2001-b1-m0.25-bd5-d60|training-s3.0-r2004-b0-m1.0-bd5-d60|training-s5.0-r2003-b1-m0.50-bd10-d60|training-s3.0-r2001-b0-m1.0-bd5-d60|training-s5.0-r2004-b1-m0.25-bd5-d60
15,18,21072,5,5996,153.2568661234577,384.67131983193235,-0.02225996689663079,41.04207229614258,685.8533020019531,1843.6311634063761,training-s8.0-r2003-b0-m1.0-bd5-d60|training-s5.0-r2001-b1-m0.50-bd10-d60|training-s5.0-r2002-b1-m0.25-bd5-d60|training-s8.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2002-b1-m0.50-bd10-d60|training-s5.0-r2001-b1-m0.25-bd5-d60|training-s3.0-r2004-b0-m1.0-bd5-d60|training-s5.0-r2003-b1-m0.50-bd10-d60|training-s3.0-r2001-b0-m1.0-bd5-d60|training-s5.0-r2004-b1-m0.25-bd5-d60|training-s5.0-r2005-b1-m0.50-bd10-d60|training-s3.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2003-b1-m0.25-bd5-d60|training-s5.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2004-b0-m1.0-bd5-d60
5,19,7074,5,5996,136.09930967559927,389.7683491808624,-0.049530050123842484,22.305397033691406,687.9934501647949,1968.9061885833746,training-s5.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2002-b1-m0.25-bd5-d60|training-s3.0-r2001-b0-m1.0-bd5-d60|training-s5.0-r2001-b1-m0.25-bd5-d60|training-s5.0-r2002-b0-m1.0-bd5-d60
10,19,13548,5,5996,155.78417790242924,395.0923816170941,-0.07839793944634299,25.138200759887695,809.1137390136719,1771.447760772706,training-s5.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2002-b1-m0.25-bd5-d60|training-s3.0-r2001-b0-m1.0-bd5-d60|training-s5.0-r2001-b1-m0.25-bd5-d60|training-s5.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2001-b1-m0.50-bd10-d60|training-s8.0-r2003-b0-m1.0-bd5-d60|training-s8.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2005-b1-m0.25-bd5-d60|training-s3.0-r2005-b0-m1.0-bd5-d60
15,19,20406,5,5996,170.54270989075863,409.35626454628516,-0.15766957691807493,35.84357261657715,877.8855743408203,1832.8957824707047,training-s5.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2002-b1-m0.25-bd5-d60|training-s3.0-r2001-b0-m1.0-bd5-d60|training-s5.0-r2001-b1-m0.25-bd5-d60|training-s5.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2001-b1-m0.50-bd10-d60|training-s8.0-r2003-b0-m1.0-bd5-d60|training-s8.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2005-b1-m0.25-bd5-d60|training-s3.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2004-b0-m1.0-bd5-d60|training-s5.0-r2003-b1-m0.25-bd5-d60|training-s5.0-r2004-b1-m0.25-bd5-d60|training-s5.0-r2005-b1-m0.50-bd10-d60|training-s5.0-r2003-b1-m0.50-bd10-d60
5,20,9234,5,5996,150.8217196332687,360.093826385307,0.10419580927857242,59.78831481933594,580.8175830841064,1685.676134490967,training-s3.0-r2005-b0-m1.0-bd5-d60|training-s3.0-r2001-b0-m1.0-bd5-d60|training-s5.0-r2005-b1-m0.50-bd10-d60|training-s3.0-r2004-b0-m1.0-bd5-d60|training-s3.0-r2002-b0-m1.0-bd5-d60
10,20,14298,5,5996,134.62229618655326,363.07270121442826,0.08931343202014419,27.860947608947754,609.4319458007812,1741.1382434844973,training-s3.0-r2005-b0-m1.0-bd5-d60|training-s3.0-r2001-b0-m1.0-bd5-d60|training-s5.0-r2005-b1-m0.50-bd10-d60|training-s3.0-r2004-b0-m1.0-bd5-d60|training-s3.0-r2002-b0-m1.0-bd5-d60|training-s8.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2004-b0-m1.0-bd5-d60|training-s8.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2002-b1-m0.50-bd10-d60
15,20,20990,5,5996,143.75670977125444,368.55040874648097,0.06162693607263159,31.885412216186523,579.1130027770996,1770.9218217849739,training-s3.0-r2005-b0-m1.0-bd5-d60|training-s3.0-r2001-b0-m1.0-bd5-d60|training-s5.0-r2005-b1-m0.50-bd10-d60|training-s3.0-r2004-b0-m1.0-bd5-d60|training-s3.0-r2002-b0-m1.0-bd5-d60|training-s8.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2004-b0-m1.0-bd5-d60|training-s8.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2002-b1-m0.50-bd10-d60|training-s5.0-r2001-b0-m1.0-bd5-d60|training-s5.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2002-b1-m0.25-bd5-d60|training-s5.0-r2005-b1-m0.25-bd5-d60|training-s5.0-r2003-b1-m0.50-bd10-d60
20,1,27498,5,5996,148.11731902695695,378.2903708344346,0.011373353446227807,38.48801803588867,633.8036861419678,1803.4043586730968,training-s3.0-r2001-b0-m1.0-bd5-d60|training-s3.0-r2002-b0-m1.0-bd5-d60|training-s3.0-r2004-b0-m1.0-bd5-d60|training-s3.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2001-b0-m1.0-bd5-d60|training-s5.0-r2001-b1-m0.25-bd5-d60|training-s5.0-r2001-b1-m0.50-bd10-d60|training-s5.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2002-b1-m0.25-bd5-d60|training-s5.0-r2002-b1-m0.50-bd10-d60|training-s5.0-r2003-b1-m0.25-bd5-d60|training-s5.0-r2003-b1-m0.50-bd10-d60|training-s5.0-r2004-b0-m1.0-bd5-d60|training-s5.0-r2004-b1-m0.25-bd5-d60|training-s5.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2005-b1-m0.25-bd5-d60|training-s5.0-r2005-b1-m0.50-bd10-d60|training-s8.0-r2002-b0-m1.0-bd5-d60|training-s8.0-r2003-b0-m1.0-bd5-d60|training-s8.0-r2005-b0-m1.0-bd5-d60
